,rentaldate,occupancy
798,2019-04-24,29.375
799,2019-04-25,28.75
800,2019-04-26,28.125
801,2019-04-27,30.0
802,2019-04-28,34.375
803,2019-04-29,33.125
804,2019-04-30,28.4375
805,2019-05-01,26.5625
806,2019-05-02,24.6875
807,2019-05-03,23.4375
808,2019-05-04,30.9375
809,2019-05-05,34.6875
810,2019-05-06,21.25
811,2019-05-07,19.6875
812,2019-05-08,20.625
813,2019-05-09,23.75
814,2019-05-10,30.0
815,2019-05-11,32.5
816,2019-05-12,25.625
817,2019-05-13,21.25
818,2019-05-14,30.625
819,2019-05-15,25.3125
820,2019-05-16,24.0625
821,2019-05-17,26.5625
822,2019-05-18,38.125
823,2019-05-19,40.625
824,2019-05-20,33.125
825,2019-05-21,29.375
826,2019-05-22,30.3125
827,2019-05-23,31.25
828,2019-05-24,30.3125
829,2019-05-25,31.875
830,2019-05-26,34.6875
831,2019-05-27,34.6875
832,2019-05-28,31.5625
833,2019-05-29,25.0
834,2019-05-30,30.0
835,2019-05-31,34.6875
836,2019-06-01,34.6875
837,2019-06-02,37.5
838,2019-06-03,39.0625
839,2019-06-04,34.375
840,2019-06-05,36.25
841,2019-06-06,38.125
842,2019-06-07,35.625
843,2019-06-08,33.75
844,2019-06-09,39.6875
845,2019-06-10,39.6875
846,2019-06-11,37.5
847,2019-06-12,39.375
848,2019-06-13,35.3125
849,2019-06-14,32.8125
850,2019-06-15,36.875
851,2019-06-16,42.5
852,2019-06-17,41.25
853,2019-06-18,28.125
854,2019-06-19,31.5625
855,2019-06-20,33.4375
856,2019-06-21,38.125
857,2019-06-22,44.0625
858,2019-06-23,37.5
859,2019-06-24,33.4375
860,2019-06-25,31.25
861,2019-06-26,33.125
862,2019-06-27,34.0625
863,2019-06-28,35.0
864,2019-06-29,43.4375
865,2019-06-30,42.8125
866,2019-07-01,26.5625
867,2019-07-02,20.3125
868,2019-07-03,19.375
869,2019-07-04,19.0625
870,2019-07-05,29.375
871,2019-07-06,31.5625
872,2019-07-07,29.6875
873,2019-07-08,33.4375
874,2019-07-09,30.3125
875,2019-07-10,31.25
876,2019-07-11,27.5
877,2019-07-12,22.1875
878,2019-07-13,28.125
879,2019-07-14,27.1875
880,2019-07-15,24.0625
881,2019-07-16,23.4375
882,2019-07-17,24.0625
883,2019-07-18,23.125
884,2019-07-19,22.8125
885,2019-07-20,24.6875
886,2019-07-21,25.625
887,2019-07-22,24.375
888,2019-07-23,21.875
889,2019-07-24,23.125
890,2019-07-25,25.0
891,2019-07-26,21.875
892,2019-07-27,25.3125
893,2019-07-28,27.1875
894,2019-07-29,26.875
895,2019-07-30,25.3125
896,2019-07-31,27.1875
897,2019-08-01,25.625
898,2019-08-02,25.9375
899,2019-08-03,27.8125
900,2019-08-04,27.5
901,2019-08-05,27.8125
902,2019-08-06,23.75
903,2019-08-07,20.0
904,2019-08-08,20.9375
905,2019-08-09,24.6875
906,2019-08-10,27.8125
907,2019-08-11,26.875
908,2019-08-12,24.6875
909,2019-08-13,21.5625
910,2019-08-14,17.1875
911,2019-08-15,22.5
912,2019-08-16,23.75
913,2019-08-17,27.8125
914,2019-08-18,32.1875
915,2019-08-19,28.4375
916,2019-08-20,23.4375
917,2019-08-21,20.625
918,2019-08-22,21.5625
919,2019-08-23,22.8125
920,2019-08-24,22.8125
921,2019-08-25,23.4375
922,2019-08-26,19.6875
923,2019-08-27,16.5625
924,2019-08-28,14.375
925,2019-08-29,15.625
926,2019-08-30,17.5
927,2019-08-31,20.3125
928,2019-09-01,20.9375
929,2019-09-02,18.125
930,2019-09-03,15.0
931,2019-09-04,17.5
932,2019-09-05,18.125
933,2019-09-06,19.6875
934,2019-09-07,19.375
935,2019-09-08,20.0
936,2019-09-09,24.375
937,2019-09-10,21.875
938,2019-09-11,17.5
939,2019-09-12,16.5625
940,2019-09-13,22.1875
941,2019-09-14,25.9375
942,2019-09-15,23.4375
943,2019-09-16,19.375
944,2019-09-17,18.125
945,2019-09-18,16.875
946,2019-09-19,17.1875
947,2019-09-20,19.0625
948,2019-09-21,19.375
949,2019-09-22,18.75
950,2019-09-23,19.6875
951,2019-09-24,16.875
952,2019-09-25,18.125
953,2019-09-26,21.25
954,2019-09-27,23.125
955,2019-09-28,29.375
956,2019-09-29,27.5
957,2019-09-30,17.5
958,2019-10-01,15.625
959,2019-10-02,23.75
960,2019-10-03,20.0
961,2019-10-04,24.375
962,2019-10-05,30.3125
963,2019-10-06,25.3125
964,2019-10-07,26.25
965,2019-10-08,27.5
966,2019-10-09,20.625
967,2019-10-10,18.125
968,2019-10-11,28.4375
969,2019-10-12,23.125
970,2019-10-13,27.8125
971,2019-10-14,18.4375
972,2019-10-15,22.5
973,2019-10-16,25.0
974,2019-10-17,21.5625
975,2019-10-18,23.4375
976,2019-10-19,34.0625
977,2019-10-20,34.0625
978,2019-10-21,28.4375
979,2019-10-22,22.5
980,2019-10-23,25.9375
981,2019-10-24,28.4375
982,2019-10-25,32.1875
983,2019-10-26,33.125
984,2019-10-27,32.1875
985,2019-10-28,28.4375
986,2019-10-29,21.25
987,2019-10-30,22.5
988,2019-10-31,23.125
989,2019-11-01,25.3125
990,2019-11-02,26.875
991,2019-11-03,27.5
992,2019-11-04,21.5625
993,2019-11-05,13.4375
994,2019-11-06,14.375
995,2019-11-07,15.625
996,2019-11-08,15.3125
997,2019-11-09,23.4375
998,2019-11-10,25.0
999,2019-11-11,23.75
1000,2019-11-12,22.8125
1001,2019-11-13,15.3125
1002,2019-11-14,17.1875
1003,2019-11-15,17.5
1004,2019-11-16,21.875
1005,2019-11-17,20.625
1006,2019-11-18,18.4375
1007,2019-11-19,18.4375
1008,2019-11-20,22.8125
1009,2019-11-21,20.0
1010,2019-11-22,18.125
1011,2019-11-23,19.6875
1012,2019-11-24,17.5
1013,2019-11-25,17.1875
1014,2019-11-26,17.1875
1015,2019-11-27,18.75
1016,2019-11-28,19.6875
1017,2019-11-29,23.4375
1018,2019-11-30,26.25
1019,2019-12-01,25.9375
1020,2019-12-02,18.125
1021,2019-12-03,15.9375
1022,2019-12-04,14.6875
1023,2019-12-05,15.3125
1024,2019-12-06,15.3125
1025,2019-12-07,21.25
1026,2019-12-08,22.5
1027,2019-12-09,22.1875
